codigo,descricao,categoria,preco_tabela_a,preco_tabela_b
1051,Papel Toalha Olivapel 100% 16x02x50,Linha Olivapel,43.04,44.33
1080,Guardanapo de Papel 22x22cm c/50un - fardo c/50,Linha Olivapel,54.50,64.38
1075,Interfolha 7x1000x20x20 100% celulose luxo 18gr premium,Linha Olivapel,66.43,72.03
2707,Papel Toalha Interfolha 2.000 flha 20.5x20cm 20gr,Linha Olivapel,35.02,35.02
1304,Papel Interfolha 2.400 flha 20.5x20cm 24gr,Linha Olivapel,51.05,51.05
0106,Papel Toalha Interfolha 4.800 flha 20.5x20cm 20gr,Linha Olivapel,79.18,79.18
2108,Papel Toalha Interfolha Cai Cai 10.000 flha 10x20cm 17gr,Linha Olivapel,56.55,56.55
1605,Papel Higienico Folha Dupla 8 rolos x240m x10cm,Linha Olivapel,79.90,82.30
1065,Papel Higienico Folha Dupla 8 rolos x240m x10cm em fardo,Linha Olivapel,69.90,72.00
0701,Papel Higienico D'Classe 32 rolos de 60m,Linha Olivapel,32.50,34.50
1060,Rolao Higienico 1x8x300m Branco Luxo,Rolao Higienico,34.50,36.36
1061,Rolao Higienico 1x8x300m 100% Celulose,Rolao Higienico,49.80,53.46
1062,Rolao Higienico 1x8x150m Branco Luxo,Rolao Higienico,26.90,28.90
1062/1,Rolao Higienico 1x8x170m Branco Luxo,Rolao Higienico,28.50,30.50
1062/2,Rolao Higienico 1x8x200m Branco Luxo,Rolao Higienico,30.50,32.50
1063,Rolao Higienico 1x8x150m 100% Celulose,Rolao Higienico,33.10,34.81
1063/1,Rolao Higienico 1x8x170m 100% Celulose,Rolao Higienico,35.10,36.82
1063/2,Rolao Higienico 1x8x200m 100% Celulose,Rolao Higienico,37.10,38.88
1064,Rolao Higienico Branco Luxo 8x10x500m,Rolao Higienico,56.96,59.90
1070,Rolao Higienico 1x8x300m 100% Celulose Premium (10cm),Rolao Higienico,49.54,53.41
1071,Rolao Higienico 1x8x300m 100% Celulose Premium (9cm),Rolao Higienico,46.44,50.57
1070/1,Rolao Higienico 1x8x300/250m 100% Celulose Premium (10cm),Rolao Higienico,43.50,46.50
1053,Interfolhas 6x1000x20x20 Branco Luxo,Interfolhas,47.94,51.10
1054,Interfolhas 6x1000x20x20 100% Celulose Eco 20gr,Interfolhas,59.34,63.00
1055,Interfolhas 6x600x20x20 Branco Luxo,Interfolhas,37.18,41.30
1056,Interfolhas 7x600x20x20 100% Celulose Eco,Interfolhas,55.30,59.43
1076,Interfolhas 6x500gr x20x20 100% Celulose Eco 18gr,Interfolhas,47.40,50.94
VER-24,Interfolhas 6x1000x20x20 100% Celulose Eco 70/30 24gr,Interfolhas,71.70,73.54
VER-28,Interfolha 6x1000x20x20 100% Celulose Luxo 70/30 28gr,Interfolhas,79.25,85.90
1052,Toalha Auto Corte VIP (Branca 1) 1x6x200m 24gr,Bobinas Auto Corte,68.19,69.37
1078,Toalha Auto Corte (Branca 2) 1x6x200m 28gr,Bobinas Auto Corte,49.50,54.50
1078/1,Toalha Auto Corte (Branca 2) 1x6x150m 28gr,Bobinas Auto Corte,41.95,43.95
1072,Toalha Auto Corte Premium 1x6x200m Alavanca,Bobinas Auto Corte,58.09,62.21
1073,Toalha Auto Corte Premium 1x6x200m Confort,Bobinas Auto Corte,71.48,73.95
1074,Toalha Auto Corte Premium 1x6x200m Premium,Bobinas Auto Corte,81.06,85.88
1072/1,Toalha Auto Corte Premium 1x6x150m Alavanca,Bobinas Auto Corte,50.06,53.66
1073/1,Toalha Auto Corte Premium 1x6x150m Confort,Bobinas Auto Corte,58.50,62.42
1074/1,Toalha Auto Corte Premium 1x6x150m Premium,Bobinas Auto Corte,64.88,68.87
1001,D'Classe 16x04x30,Higienico Domestico,48.65,48.56
1002,D'Classe 16x04x60,Higienico Domestico,65.90,67.90
1003,D'Classe 16x04x90,Higienico Domestico,83.69,87.17
1004,D'Classe 04x16x60,Higienico Domestico,63.00,63.74
1005,D'Classe 06x12x60,Higienico Domestico,65.40,67.40
1014,D'Classe 06x12x30,Higienico Domestico,47.94,49.94
1012/1013,D'Classe 09x16x30,Higienico Domestico,87.83,90.38
1030,Folha Dupla 100% Celulose 16x04x30,Higienico Domestico,80.03,83.42
1037,Folha Dupla 100% Celulose 06x12x30,Higienico Domestico,86.00,87.50
1031,VIP Folha Dupla 16x04x30,Higienico Domestico,63.84,64.90
1032,VIP Folha Dupla 06x12x20,Higienico Domestico,54.90,56.97
1033,VIP Folha Dupla 06x12x30,Higienico Domestico,65.60,68.19
1050,Papel Toalha D'Classe 100% 16x04x60,Higienico Domestico,66.67,68.82
